date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-01-19,TX,202402,17541.0,17684.0,17504.0,17678.0,396.0,2.29,111839,17674.0,17417.0,17474.7,,,,,,,,,,,,1189.0
2024-01-22,TX,202402,17816.0,17843.0,17747.0,17817.0,143.0,0.81,83035,17815.0,17468.6,17496.9,,,,50.56852184320766,,,,,,,181.5,1149.0
2024-01-23,TX,202402,17799.0,17877.0,17790.0,17870.0,55.0,0.31,77256,17868.0,17576.0,17529.4,,,,52.20120186957489,,,,,,,174.75,1091.0
2024-01-24,TX,202402,17903.0,17941.0,17876.0,17903.0,35.0,0.2,65654,17896.0,17709.6,17573.9,,,,53.23687745592319,,,,,,,167.33928571428572,1411.0
2024-01-25,TX,202402,18016.0,18030.0,17935.0,17995.0,99.0,0.55,74949,17997.0,17852.6,17615.9,,,,56.0931374553394,,,,,,,164.4579081632653,1394.0
2024-01-26,TX,202402,17951.0,18023.0,17936.0,17999.0,2.0,0.01,65973,17999.0,17916.8,17666.9,,,,56.21834866760999,,,,,,,158.92520043731778,1510.0
2024-01-29,TX,202402,18011.0,18135.0,17970.0,18125.0,126.0,0.7,73311,18123.0,17978.4,17723.5,17643.25,,,60.08019074484723,18126.504332624136,17643.25,17159.995667375864,,,,159.3591146917951,1584.0
2024-01-30,TX,202402,18129.0,18139.0,18064.0,18081.0,-42.0,-0.23,63313,18081.0,18020.6,17798.3,17657.4,,,58.151209784076244,18173.412945573942,17657.4,17141.38705442606,,,,153.3334636423812,1710.0
2024-01-31,TX,202402,17990.0,18003.0,17904.0,17920.0,-161.0,-0.89,78949,17921.0,18024.0,17866.8,17676.1,,,51.62028183408525,18201.62864812527,17676.1,17150.57135187473,,,,155.02393052506824,1795.0
2024-02-01,TX,202402,17956.0,17994.0,17882.0,17986.0,65.0,0.36,82846,17985.0,18022.2,17937.4,17698.1,,,53.90570215675036,18236.678462250606,17698.1,17159.52153774939,,,,151.9507926304205,1969.0
2024-02-02,TX,202402,18100.0,18105.0,18023.0,18084.0,99.0,0.55,64193,18084.0,18039.2,17978.0,17726.35,,,57.14306018286811,18283.344533187108,17726.35,17169.35546681289,,,,149.59716458539046,1843.0
2024-02-05,TX,202402,18008.0,18102.0,17958.0,18086.0,2.0,0.01,72290,18085.0,18031.4,18004.9,17750.9,,,57.20911179657831,18325.574829794947,17750.9,17176.225170205056,,,,149.19736711500542,1853.0
2024-02-15,TX,202402,18590.0,18696.0,18531.0,18667.0,582.0,3.22,112201,18666.0,18148.6,18084.6,17807.0,,,71.12941466174618,18497.6744529806,17807.0,17116.3255470194,,,,182.11184089250506,1063.0
2024-02-16,TX,202402,18683.0,18726.0,18633.0,18634.0,-32.0,-0.17,65410,18639.0,18291.4,18157.7,17865.8,,,69.74166169352863,18624.50088967917,17865.8,17107.09911032083,,,,175.74670940018328,1285.0
