date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2020-01-02,TX,202001,12044.0,12120.0,12023.0,12102.0,108.0,0.9,100401,12101.0,,,,,,,,,,,,,,,-538.0
2020-01-03,TX,202001,12180.0,12198.0,11996.0,12086.0,-15.0,-0.12,172660,12087.0,,,,,,,,,,,,,,,-420.0
2020-01-06,TX,202001,12017.0,12034.0,11948.0,11950.0,-137.0,-1.13,118380,11949.0,,,,,,,,,,,,,,,-179.0
2020-01-07,TX,202001,11995.0,12009.0,11816.0,11871.0,-78.0,-0.65,157264,11871.0,,,,,,,,,,,,,,,-97.0
2020-01-08,TX,202001,11728.0,11892.0,11697.0,11788.0,-83.0,-0.7,158971,11788.0,11959.4,,,,,,,,,,,,,,24.0
2020-01-09,TX,202001,11919.0,11998.0,11883.0,11968.0,180.0,1.53,115014,11969.0,11932.6,,,,,,,,,,,,,,-198.0
2020-01-10,TX,202001,12005.0,12042.0,11953.0,12010.0,41.0,0.34,114171,12011.0,11917.4,,,,,,,,,,,,,,-370.0
2020-01-13,TX,202001,12085.0,12121.0,12044.0,12117.0,106.0,0.88,142642,12116.0,11950.8,,,,,,,,,,,,,,-355.0
2020-01-14,TX,202001,12176.0,12199.0,12148.0,12181.0,65.0,0.54,104397,12181.0,12012.8,,,,,,,,,,,,,,-466.0
2020-01-15,TX,202002,12139.0,12148.0,12042.0,12056.0,-99.0,-0.81,65151,12054.0,12066.4,12012.9,,,,,,,,,,,,,-392.0
2020-01-16,TX,202002,12040.0,12078.0,11990.0,12056.0,2.0,0.02,106272,12052.0,12084.0,12008.3,,,,,,,,,,,,,-548.0
2020-01-17,TX,202002,12103.0,12118.0,12029.0,12072.0,20.0,0.17,101199,12071.0,12096.4,12006.9,,,,,,,,,,,,,-530.0
2020-01-20,TX,202002,12119.0,12160.0,12097.0,12111.0,40.0,0.33,77557,12111.0,12095.2,12023.0,,,,,,,,,,,,,-690.0
2020-01-30,TX,202002,11770.0,11798.0,11366.0,11370.0,-741.0,-6.12,248664,11372.0,11933.0,11972.9,,,,,,,,,,,,,-97.0
2020-01-31,TX,202002,11460.0,11567.0,11407.0,11468.0,96.0,0.84,154361,11469.0,11815.4,11940.9,,,,,31.63383545770568,,,,,,,183.28571428571428,-294.0
2020-02-03,TX,202002,11285.0,11370.0,11152.0,11325.0,-144.0,-1.26,206381,11324.0,11669.2,11876.6,,,,,29.04255319148936,,,,,,,192.76530612244898,-1.0
2020-02-04,TX,202002,11373.0,11557.0,11362.0,11534.0,210.0,1.85,145462,11534.0,11561.6,11829.0,,,,,37.1463460873638,,,,,,,195.56778425655975,-170.0
2020-02-05,TX,202002,11603.0,11620.0,11474.0,11542.0,8.0,0.07,155144,11542.0,11447.8,11771.5,,,,,37.4408624918994,,,,,,,192.02722823823404,-50.0
2020-02-06,TX,202002,11651.0,11744.0,11628.0,11741.0,199.0,1.72,122911,11739.0,11522.0,11727.5,,,,,44.41776620667202,,,,,,,192.73956907836018,-472.0
2020-02-07,TX,202002,11660.0,11666.0,11566.0,11592.0,-147.0,-1.25,125747,11589.0,11546.8,11681.1,11847.0,,,,40.75297551335876,12391.255454726914,11847.0,11302.744545273086,,,,191.47245700133445,-642.0
2020-02-10,TX,202002,11455.0,11598.0,11402.0,11564.0,-25.0,-0.22,147183,11565.0,11594.6,11631.9,11820.1,,,,40.08368215093284,12364.464179570896,11820.1,11275.735820429105,,,,191.79585292981056,-580.0
2020-02-11,TX,202002,11625.0,11689.0,11613.0,11666.0,101.0,0.87,92406,11664.0,11621.0,11591.3,11799.1,,,,43.71038753423794,12333.119812366514,11799.1,11265.080187633486,,,,187.02472057768122,-845.0
2020-02-12,TX,202002,11663.0,11797.0,11647.0,11771.0,107.0,0.92,105501,11770.0,11666.8,11557.3,11790.15,,,,47.250058961471254,12319.735224491875,11790.15,11260.564775508125,,,,184.38009767927542,-1404.0
2020-02-13,TX,202002,11798.0,11837.0,11762.0,11774.0,4.0,0.03,110031,11775.0,11673.4,11597.7,11785.3,,,,47.351926032339954,12313.609795480008,11785.3,11256.99020451999,,,,176.56723355932718,-1753.0
2020-02-14,TX,202002,11757.0,11852.0,11755.0,11812.0,37.0,0.31,102988,11810.0,11717.4,11632.1,11786.5,,,,48.703217367334126,12314.93788660544,11786.5,11258.06211339456,,,,170.88385973366096,-2144.0
2020-02-17,TX,202002,11710.0,11792.0,11702.0,11770.0,-40.0,-0.34,109882,11769.0,11758.6,11676.6,11776.6,,,,47.25942315201457,12298.443424793244,11776.6,11254.756575206757,,,,166.53501260982804,-2407.0
2020-02-18,TX,202002,11715.0,11719.0,11627.0,11640.0,-129.0,-1.1,154544,11640.0,11753.4,11687.2,11758.1,,,,43.009413546902806,12271.70330995808,11758.1,11244.49669004192,,,,164.8539402805546,-2721.0
2020-02-19,TX,202003,11657.0,11787.0,11621.0,11762.0,133.0,1.14,70098,11763.0,11751.6,11709.2,11740.35,,,,47.75758008028884,12226.939467621261,11740.35,11253.76053237874,,,,164.93580168908642,-3409.0
2020-02-20,TX,202003,11820.0,11830.0,11679.0,11715.0,-48.0,-0.41,137132,11713.0,11739.8,11706.6,11717.05,,,,46.1619590252818,12159.646644813402,11717.05,11274.453355186597,,,,163.9403872827231,-2702.0
2020-02-21,TX,202003,11665.0,11765.0,11636.0,11664.0,-49.0,-0.42,139432,11663.0,11710.2,11713.8,11697.45,,,,44.42737592808694,12112.107195765268,11697.45,11282.792804234734,,,,161.44464533395717,-2976.0
2020-02-24,TX,202003,11509.0,11587.0,11476.0,11508.0,-155.0,-1.33,136123,11511.0,11657.8,11708.2,11670.05,,,,39.533878065600796,12057.869790624532,11670.05,11282.230209375466,,,,163.34145638153163,-2315.0
2020-02-25,TX,202003,11400.0,11561.0,11386.0,11542.0,31.0,0.27,148777,11541.0,11638.2,11695.8,11643.55,,,,41.05770205284684,11987.878026742059,11643.55,11299.22197325794,,,,164.1742094971365,-1959.0
2020-02-26,TX,202003,11383.0,11482.0,11365.0,11421.0,-120.0,-1.04,162698,11421.0,11570.0,11660.8,11609.05,,,,37.441390824422626,11891.900826408819,11609.05,11326.19917359118,,,,165.09033739019816,-1783.0
2020-02-27,TX,202003,11395.0,11447.0,11237.0,11273.0,-148.0,-1.3,168661,11276.0,11481.6,11610.7,11604.2,,,,33.54903751195114,11905.973822588936,11604.2,11302.426177411066,-148.29309759615353,-145.3838957683252,-2.9092018278283263,168.29817043375542,-1690.0
2020-03-02,TX,202003,11011.0,11278.0,11005.0,11174.0,-102.0,-0.9,203861,11176.0,11383.6,11546.9,11589.5,,,,31.211627702957063,11940.936196200642,11589.5,11238.063803799358,-166.74979779823298,-149.65707617430675,-17.092721623926224,175.77687254563003,-1598.0
2020-03-03,TX,202003,11313.0,11375.0,11278.0,11324.0,148.0,1.32,165499,11321.0,11346.8,11502.3,11589.45,,,,38.23343627578712,11941.036959371342,11589.45,11237.86304062866,-167.34408088763303,-153.194477116972,-14.149603770661031,177.57852450665646,-1728.0
2020-03-04,TX,202003,11348.0,11369.0,11267.0,11364.0,43.0,0.38,142617,11358.0,11311.2,11474.7,11580.95,,,,39.992544582245735,11945.470218917895,11580.95,11216.429781082106,-162.71174905297266,-155.09793150417212,-7.61381754880054,172.18005847046672,-1812.0
2020-03-05,TX,202003,11450.0,11501.0,11428.0,11492.0,134.0,1.18,112997,11491.0,11325.4,11447.7,11578.45,,,,45.355680711160915,11944.686248888542,11578.45,11212.21375111146,-147.01733808219433,-153.48181281977656,6.464474737582236,169.6671971511477,-1666.0
2020-03-06,TX,202003,11400.0,11420.0,11260.0,11269.0,-222.0,-1.93,154698,11269.0,11324.6,11403.1,11554.85,,,,38.84240710853056,11936.646424813003,11554.85,11173.053575186997,-150.83490967965008,-152.95243219175126,2.117522512101175,174.11954021178002,-1272.0
2020-03-09,TX,202003,10975.0,11108.0,10916.0,10950.0,-319.0,-2.83,213069,10951.0,11279.8,11331.7,11522.75,,,,31.80604999088995,11985.934142647406,11522.75,11059.565857352594,-177.55426167560836,-157.87279808852267,-19.681463587085688,186.89671591093858,-823.0
2020-03-10,TX,202003,10830.0,10996.0,10779.0,10984.0,33.0,0.3,209076,10981.0,11211.8,11279.3,11493.75,,,,33.195115952508615,12012.291753381549,11493.75,10975.208246618451,-193.75256581289068,-165.04875163339628,-28.7038141794944,189.0469504887287,-883.0
2020-03-11,TX,202003,10979.0,11029.0,10807.0,10821.0,-160.0,-1.46,183871,10824.0,11103.2,11207.2,11451.5,,,,30.036349333841443,12039.997918433033,11451.5,10863.002081566967,-217.23838739266648,-175.48667878525032,-41.75170860741616,191.40073973953378,-688.0
2020-03-12,TX,202003,10750.0,10765.0,10161.0,10367.0,-457.0,-4.22,331510,10362.0,10878.2,11101.8,11381.3,,,,23.366811544598765,12117.119026663517,11381.3,10645.480973336482,-269.3798329336005,-194.26530961492034,-75.11452331868014,224.8721154724242,-294.0
2020-03-13,TX,202003,9749.0,10147.0,9450.0,10021.0,-341.0,-3.29,348943,10027.0,10628.6,10976.6,11293.65,,,,19.76479407997323,12215.571965244355,11293.65,10371.728034755644,-334.7626767855163,-222.36478304903954,-112.39789373647676,274.3098215101082,325.0
2020-03-16,TX,202003,9919.0,10055.0,9636.0,9668.0,-359.0,-3.58,260020,9679.0,10372.2,10826.0,11186.45,,,,16.902126069536884,12317.282874477874,11186.45,10055.617125522127,-410.33313647820796,-259.9584537348732,-150.37468274333474,284.6448342593862,654.0
2020-03-17,TX,202003,9379.0,9677.0,9271.0,9363.0,-316.0,-3.26,257921,9371.0,10048.0,10629.9,11066.1,,,,14.894778577585482,12414.333792782229,11066.1,9717.866207217772,-489.1950848245833,-305.8057799528152,-183.3893048717681,293.3130603837157,939.0
2020-03-18,TX,202004,9250.0,9309.0,8914.0,8919.0,-286.0,-3.11,127004,8919.0,9667.6,10385.4,10930.05,,,,12.55685678960194,12542.449265070547,10930.05,9317.650734929452,-580.8254422489554,-360.80971241204327,-220.0157298369121,304.4335560705931,1642.0
2020-03-19,TX,202004,8820.0,8872.0,8268.0,8353.0,-566.0,-6.35,307231,8356.0,9264.8,10071.5,10759.6,,,,10.330750299486231,12676.218835345186,10759.6,8842.981164654815,-691.1475121142157,-426.87727235247775,-264.27023976173797,329.1883020655508,2123.0
2020-03-20,TX,202004,8562.0,9166.0,8544.0,9013.0,657.0,7.86,266159,9041.0,9063.2,9845.9,10624.5,,,,26.65851956435465,12631.483856437313,10624.5,8617.516143562687,-717.0562846626199,-484.91307481450616,-232.1432098481137,363.74628048944,1185.0
2020-03-23,TX,202004,8609.0,8868.0,8555.0,8688.0,-353.0,-3.9,180341,8665.0,8867.2,9619.7,10475.7,11271.84,,,24.310994920613453,12590.720765855498,10475.7,8360.679234144503,-755.109524868205,-538.9523648252459,-216.15716004295905,370.4786890259085,1537.0
2020-03-24,TX,202004,8998.0,9295.0,8986.0,9193.0,528.0,6.09,179105,9193.0,8833.2,9440.6,10359.95,11213.66,,,34.031785017623235,12489.657911897772,10359.95,8230.24208810223,-736.0331800165332,-578.3685278635033,-157.6646521530298,387.37306838120077,1099.0
2020-03-25,TX,202004,9410.0,9624.0,9370.0,9583.0,390.0,4.24,209717,9585.0,8966.0,9316.8,10262.0,11163.6,,,40.398082298939535,12344.92121790528,10262.0,8179.078782094721,-681.5883721695936,-599.0124967247214,-82.57587544487228,390.4892777825436,687.0
2020-03-26,TX,202004,9679.0,9690.0,9426.0,9638.0,53.0,0.55,190488,9631.0,9223.0,9243.9,10172.85,11117.36,,,41.25902861442191,12201.640011312153,10172.85,8144.059988687847,-626.7773304414259,-604.5654634680623,-22.211866973363612,381.45432936950476,909.0
2020-03-27,TX,202004,9899.0,9910.0,9548.0,9583.0,-48.0,-0.5,187676,9579.0,9337.0,9200.1,10088.35,11071.6,,,40.627030758982265,12066.972376806634,10088.35,8109.7276231933665,-581.0789093673193,-599.8681526479137,18.789243280594405,380.0647344145401,999.0
2020-03-30,TX,202004,9376.0,9576.0,9266.0,9576.0,-3.0,-0.03,164970,9566.0,9514.6,9190.9,10008.45,11027.36,,,40.541912863853355,11933.595134788518,10008.45,8083.304865211482,-539.211725797948,-587.7368672779205,48.52514147997249,375.5601105277873,1131.0
2020-03-31,TX,202004,9666.0,9717.0,9495.0,9596.0,30.0,0.31,142747,9595.0,9595.2,9214.2,9922.05,10979.92,,,40.92275297282455,11756.228996172411,9922.05,8087.8710038275885,-498.6694967815147,-569.9233931786393,71.25389639712466,364.5915312043739,1348.0
2020-04-01,TX,202004,9588.0,9650.0,9551.0,9552.0,-43.0,-0.45,116273,9555.0,9589.0,9277.5,9831.45,10930.76,,,40.31101859962089,11546.944852804845,9831.45,8115.955147195156,-464.73277038081505,-548.8852686190745,84.15249823825945,345.62070754691865,1063.0
2020-04-06,TX,202004,9741.0,9860.0,9582.0,9826.0,271.0,2.84,146380,9823.0,9626.6,9424.8,9748.15,10884.94,,,45.74957636362173,11285.578928438637,9748.15,8210.721071561362,-410.990517270513,-521.3063183493622,110.31580107884918,342.9335141507102,899.0
2020-04-07,TX,202004,9955.0,10020.0,9878.0,9997.0,174.0,1.77,137022,9998.0,9709.4,9523.2,9684.55,10841.26,,,48.88005121301802,11061.973751065754,9684.55,8307.126248934244,-350.5600851496729,-487.1570717094243,136.59698655975143,332.29540599708804,753.0
2020-04-08,TX,202004,9950.0,10135.0,9945.0,10127.0,129.0,1.29,130314,10122.0,9819.6,9667.1,9643.4,10802.68,,,51.186171119897125,10912.022307860012,9643.4,8374.777692139987,-288.84894790229555,-447.4954469479986,158.64649904570302,322.13144842586746,706.0
