Date,open,high,low,close,adj_close,volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_10_days
2023-01-03,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,108.0999984741211,231402800,,,,,,,,,,,,,,,20.68000030517578
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,113.63999938964844,180389000,,,,,,,,,,,,,,,13.529998779296875
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,110.33999633789062,157986300,,,,,,,,,,,,,,,23.080001831054688
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,113.05999755859375,220911100,,,,,,,,,,,,,,,30.69000244140625
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,119.7699966430664,190284000,112.98199768066407,,,,,,,,,,,,,,24.12000274658203
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,118.8499984741211,167642500,115.13199768066406,,,,,,,,,,,,,,25.579994201660156
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,123.22000122070312,183810800,117.047998046875,,,,,,,,,,,,,,37.05000305175781
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,123.55999755859375,169400900,119.69199829101562,,,,,,,,,,,,,,54.339996337890625
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,122.4000015258789,180714100,121.55999908447265,,,,,,,,,,,,,,44.26000213623047
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,131.49000549316406,186477000,123.90400085449218,118.44299926757813,,,,,,,,,,,,,41.72999572753906
2023-01-18,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,128.77999877929688,195680300,125.89000091552734,120.5109992980957,,,,,,,,,,,,,52.6300048828125
2023-01-19,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,127.16999816894531,170291900,126.68000030517578,121.86399917602539,,,,,,,,,,,,,61.100006103515625
2023-01-20,128.67999267578125,133.50999450683594,127.3499984741211,133.4199981689453,133.4199981689453,138858100,128.6520004272461,124.17199935913087,,,,,,,,,,,,,56.55999755859375
2023-01-23,135.8699951171875,145.3800048828125,134.27000427246094,143.75,143.75,203119200,132.9220001220703,127.24099960327149,,,,,,,,,,,,,51.00999450683594
