Date,aapl,aapl_sma20,aapl_sma50,aapl_sma100,aapl_sma150,upperband_5day,middleband_5day,lowerband_5day,macd,macdsignal,macdhist
2022-09-19,152.96400451660156,157.4252799987793,157.97682678222657,150.63610809326173,155.2437353515625,155.07003675674687,151.83518676757814,148.6003367784094,-2.3330169141729016,-1.4127329188938877,-0.9202839952790138
2022-09-20,155.36024475097656,156.8970153808594,158.2190447998047,150.64379760742187,155.16783203125,156.7701669776139,152.4411865234375,148.11220606926108,-2.094868682562435,-1.5491600716275973,-0.5457086109348377
2022-09-21,152.21144104003906,156.22814331054687,158.37870880126954,150.55019256591797,155.04519958496093,156.2420264205519,152.12630310058594,148.01057978062,-2.1355987836539896,-1.6664478140328758,-0.4691509696211138
2022-09-22,151.24105834960938,155.49589996337892,158.52628173828126,150.5060270690918,154.9176776123047,156.23583875457314,152.19957275390624,148.16330675323934,-2.220581968832306,-1.7772746449927619,-0.4433073238395442
2022-09-23,148.9537353515625,154.52551803588867,158.5691751098633,150.43592697143555,154.79906422932942,156.342691246544,152.1460968017578,147.9495023569716,-2.4443229716642634,-1.910684310327062,-0.5336386613372013
2022-09-26,149.2904052734375,153.88932418823242,158.58518249511718,150.3541859436035,154.69309580485026,156.0418145965917,151.411376953125,146.7809393096583,-2.564906236848401,-2.04152869563133,-0.5233775412170711
2022-09-27,150.27069091796875,153.41304473876954,158.68210205078125,150.21767395019532,154.6132781982422,152.81471992203356,150.39346618652343,147.9722124510133,-2.5519511796728125,-2.1436131924396262,-0.40833798723318626
2022-09-28,148.36952209472656,152.96399383544923,158.66327728271483,150.1534815979004,154.54876139322917,151.65827416349663,149.62508239746094,147.59189063142526,-2.664379332404451,-2.2477664204325913,-0.41661291197185957
2022-09-29,141.08177185058594,152.23422546386718,158.45835479736328,150.0090946960449,154.41808430989585,154.22055592298483,147.59322509765624,140.96589427232766,-3.3034597640497907,-2.458905089156031,-0.8445546748937596
2022-09-30,136.84375,151.25592117309571,158.12298828125,149.8739434814453,154.24526489257812,155.7266728788537,145.17122802734374,134.6157831758338,-4.104593357960567,-2.7880427429169385,-1.3165506150436288
2022-10-03,141.0520477294922,150.59447631835937,157.89670593261718,149.75664947509765,154.0987235514323,153.55142521149838,143.5235565185547,133.49568782561101,-4.349781473253529,-3.1003904889842566,-1.2493909842692723
2022-10-04,144.66622924804688,150.17711334228517,157.76525207519532,149.75470108032226,153.9889149983724,150.15882655495457,142.4026641845703,134.64650181418605,-4.20399948833338,-3.3211122888540814,-0.8828871994792991
2022-10-05,144.96328735351562,149.70380477905275,157.66643676757812,149.79468231201173,153.85896993001302,147.64293589732046,141.72141723632814,135.79989857533582,-4.018177064517147,-3.4605252439866945,-0.5576518205304524
2022-10-06,144.0028076171875,149.2567352294922,157.44577331542968,149.78006790161132,153.7247939046224,148.43226032960882,142.30562438964844,136.17898844968806,-3.9034179699577294,-3.5491037891809016,-0.35431418077682775
2022-10-07,138.7152099609375,148.4012138366699,157.10828369140626,149.72810180664064,153.57550944010416,147.51959541008162,142.67991638183594,137.84023735359025,-4.1908262648048265,-3.6774482843056866,-0.5133779804991399
2022-10-10,139.04196166992188,147.26200485229492,156.67528381347657,149.64281677246095,153.4538774617513,147.86751706840744,142.27789916992188,136.68828127143632,-4.342179336520417,-3.810394494748633,-0.5317848417717839
2022-10-11,137.61610412597656,146.52629776000975,156.23354217529297,149.6265313720703,153.334982808431,146.87734300297893,140.8678741455078,134.8584052880367,-4.525020899500987,-3.9533197756991036,-0.5717011238018834
2022-10-12,136.9823760986328,145.68612365722657,155.8087908935547,149.63822052001953,153.17559427897135,144.2297432675949,139.27169189453124,134.3136405214676,-4.667259449322273,-4.096107710423738,-0.5711517388985357
2022-10-13,141.58676147460938,145.22172622680665,155.35509643554687,149.69358047485352,153.07606170654296,141.95537100117954,138.78848266601562,135.6215943308517,-4.358210369197536,-4.1485282421784975,-0.20968212701903877
