date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2022-10-05,13740.0,13884.0,13721.0,13820.0,227.0,1.67,116457,13814.0,,,,,,,,,,,,,,,,,-862.0
2022-10-06,13932.0,13957.0,13814.0,13869.0,55.0,0.4,89623,13871.0,,,,,,,,,,,,,,,,,-839.0
2022-10-07,13781.0,13818.0,13683.0,13689.0,-182.0,-1.31,81120,13688.0,,,,,,,,,,,,,,,,,-465.0
2022-10-11,13251.0,13297.0,13081.0,13091.0,-597.0,-4.36,132727,13090.0,,,,,,,,,,,,,,,,,243.0
2022-10-12,13049.0,13140.0,12975.0,13076.0,-14.0,-0.11,111132,13072.0,13509.0,,,,,,,,,,,,,,,,519.0
2022-10-13,13032.0,13085.0,12805.0,12869.0,-203.0,-1.55,125033,12869.0,13318.8,,,,,,,,,,,,,,,,608.0
2022-10-14,13150.0,13249.0,13074.0,13166.0,297.0,2.31,101646,13168.0,13178.2,,,,,,,,,,,,,,,,892.0
2022-10-17,12964.0,13009.0,12821.0,12981.0,-187.0,-1.42,138854,12978.0,13036.6,,,,,,,,,,,,,,,,1146.0
2022-10-18,13158.0,13182.0,12992.0,13103.0,125.0,0.96,125759,13100.0,13039.0,,,,,,,,,,,,,,,,1427.0
2022-10-19,13130.0,13166.0,12958.0,12964.0,-115.0,-0.88,65748,12962.0,13016.6,13262.8,,,,,,,,,,,,,,,1533.0
2022-10-20,12815.0,12916.0,12662.0,12900.0,-62.0,-0.48,137538,12898.0,13022.8,13170.8,,,,,,,,,,,,,,,1613.0
2022-10-21,12922.0,12948.0,12794.0,12805.0,-93.0,-0.72,107939,12805.0,12950.6,13064.4,,,,,,,,,,,,,,,1655.0
2022-10-24,13100.0,13126.0,12864.0,12882.0,77.0,0.6,120336,12884.0,12930.8,12983.7,,,,,,,,,,,,,26.862208538192675,21.972778162711734,1546.0
2022-10-25,12895.0,12946.0,12652.0,12682.0,-202.0,-1.57,146455,12685.0,12846.6,12942.8,,,,,,,,,,,,,21.674505316200364,22.502238358888906,1823.0
2022-10-26,12722.0,12833.0,12664.0,12739.0,54.0,0.43,108896,12741.0,12801.6,12909.1,,,,,26.345733041575492,,,,,,,268.2857142857143,19.02556507694635,22.520759643779797,1861.0
2022-10-27,12883.0,12984.0,12878.0,12956.0,215.0,1.69,97666,12956.0,12812.8,12917.8,,,,,33.179610909201976,,,,,,,266.62244897959187,25.65216017192883,22.117410188358516,1819.0
2022-10-28,12855.0,12915.0,12745.0,12764.0,-192.0,-1.48,97431,12767.0,12804.6,12877.6,,,,,30.484511894252215,,,,,,,262.64941690962104,31.021143453114636,25.232956233996603,1939.0
2022-10-31,12880.0,12997.0,12836.0,12943.0,176.0,1.38,88369,12943.0,12816.8,12873.8,,,,,35.7262303923006,,,,,,,260.5316014160767,45.03511734331793,33.9028069894538,1532.0
2022-11-01,12960.0,13095.0,12934.0,13031.0,88.0,0.68,91434,13033.0,12886.6,12866.6,,,,,38.19363102675016,,,,,,,253.42220131492834,52.568222457029684,42.87482775115408,1627.0
2022-11-02,13033.0,13103.0,13015.0,13083.0,50.0,0.38,66189,13084.0,12955.4,12878.5,13070.65,,,,39.66751225824384,13729.955475481614,13070.65,12411.344524518385,,,,241.60632979243346,75.833620647195,57.81232014918087,1717.0
2022-11-03,12883.0,12983.0,12854.0,12958.0,-126.0,-0.96,74133,12957.0,12955.8,12884.3,13027.55,,,,37.3610833540916,13591.009128952735,13027.55,12464.090871047263,,,,240.7058776644025,78.48101265822787,68.96095192081752,2019.0
2022-11-04,12880.0,13039.0,12850.0,13030.0,73.0,0.56,82593,13029.0,13009.0,12906.8,12985.6,,,,39.54164612216752,13396.502129466304,12985.6,12574.697870533697,,,,237.01260068837377,79.76632643196399,78.02698657912894,1856.0
2022-11-07,13156.0,13265.0,13096.0,13224.0,195.0,1.5,95613,13225.0,13065.2,12941.0,12962.35,,,,45.08844029934104,13243.581061584538,12962.35,12681.118938415462,,,,236.86884349634707,80.51624861978505,79.5878625699923,1711.0
2022-11-08,13312.0,13390.0,13298.0,13334.0,109.0,0.82,74647,13333.0,13125.8,13006.2,12974.5,,,,48.00151779624154,13295.147781841697,12974.5,12653.852218158303,,,,231.80678324660798,89.43653776380101,83.23970427185002,1341.0
2022-11-09,13467.0,13613.0,13438.0,13595.0,262.0,1.97,87870,13593.0,13228.2,13091.8,13000.45,,,,54.20881634792859,13418.857683963728,13000.45,12582.042316036273,,,,235.1777273004217,94.14071111470922,88.0311658327651,1028.0
2022-11-10,13543.0,13565.0,13461.0,13477.0,-116.0,-0.85,71235,13486.0,13332.0,13143.9,13030.85,,,,51.23117447846974,13492.729324066353,13030.85,12568.970675933648,,,,227.95074677896304,90.58029307841764,91.38584731897595,1019.0
2022-11-11,13965.0,14062.0,13896.0,14058.0,572.0,4.24,115281,14054.0,13537.6,13273.3,13075.45,,,,62.231608797727844,13717.890806611736,13075.45,12433.009193388265,,,,253.45426486617995,93.36433892486275,92.69511437266318,649.0
2022-11-14,14159.0,14195.0,14080.0,14127.0,73.0,0.52,114862,14125.0,13718.2,13391.7,13132.75,,,,63.29062396447519,13919.492874133617,13132.75,12346.007125866383,,,,245.13610309002425,92.37032913723262,92.10498704683765,454.0
2022-11-15,14237.0,14575.0,14212.0,14530.0,405.0,2.87,140937,14524.0,13957.4,13541.6,13204.1,,,,68.7942504447801,14198.52725224118,13204.1,12209.672747758821,,,,259.6263814407368,97.33516975424716,94.35661260544748,-11.0
2022-11-16,14537.0,14578.0,14388.0,14497.0,42.0,0.29,66217,14486.0,14137.8,13683.0,13280.75,,,,67.89658714292491,14415.727158360456,13280.75,12145.772841639544,,,,254.65306848068417,95.88268075534728,95.19605988227566,213.0
2022-11-17,14471.0,14545.0,14357.0,14513.0,27.0,0.19,88530,14511.0,14345.0,13838.5,13361.4,,,,68.11383442447007,14601.097285630703,13361.4,12121.702714369296,,,,249.89213501777814,96.10594647851518,96.44126566270319,195.0
2022-11-18,14551.0,14681.0,14437.0,14460.0,-51.0,-0.35,114375,14465.0,14425.4,13981.5,13444.15,,,,66.50830020771339,14743.737361434414,13444.15,12144.562638565585,,,,249.471268230794,91.64892697669704,94.54585140351982,1.0
2022-11-21,14492.0,14517.0,14411.0,14428.0,-37.0,-0.26,80224,14431.0,14485.6,14101.9,13521.45,,,,65.50434773243174,14861.381263162391,13521.45,12181.51873683761,,,,239.223320500023,86.42676620973539,91.39387988831585,-24.0
2022-11-22,14457.0,14529.0,14364.0,14505.0,74.0,0.51,88314,14504.0,14480.6,14219.0,13612.6,,,,66.80290992252066,14959.715941558074,13612.6,12265.484058441927,367.3788564070128,221.9294709635746,145.4493854434382,233.92165475002136,83.08001134443006,87.05190151028746,-351.0
2022-11-23,14615.0,14642.0,14543.0,14600.0,96.0,0.66,76990,14599.0,14501.2,14319.5,13705.65,,,,68.38422977147516,15055.629447991749,13705.65,12355.67055200825,381.77085672674184,253.89774811620805,127.87310861053379,226.99867941073413,84.96710561777964,84.82462772398166,-435.0
2022-11-24,14690.0,14789.0,14656.0,14775.0,176.0,1.21,77474,14774.0,14553.6,14449.3,13796.6,,,,71.11388598504448,15177.057808120187,13796.6,12416.142191879813,402.6560893792139,283.6494163688092,119.00667301040465,224.2844880242531,91.09356234148788,86.38022643456583,-398.0
2022-11-25,14769.0,14798.0,14703.0,14703.0,-71.0,-0.48,68961,14710.0,14602.2,14513.8,13893.55,,,,68.49368939114885,15242.299861909189,13893.55,12544.80013809081,408.6869002678559,308.65691314861857,100.02998711923732,215.04988173680644,90.4984374790324,88.85303514609994,-513.0
2022-11-28,14550.0,14588.0,14433.0,14475.0,-235.0,-1.6,106570,14474.0,14611.6,14548.6,13970.15,,,,60.84806008787348,15267.286735275058,13970.15,12673.013264724941,390.5664597929426,325.0388224774834,65.52763731545923,218.9748901841774,69.52371779639643,83.70523920563888,-230.0
2022-11-29,14470.0,14678.0,14431.0,14658.0,184.0,1.27,92020,14660.0,14642.2,14561.4,14051.5,,,,64.29325549561182,15306.218852970647,14051.5,12796.781147029353,386.51692426652335,337.3344428352914,49.18248143123196,220.97668374245046,59.599911257639256,73.20735551102267,-355.0
2022-11-30,14640.0,14838.0,14619.0,14800.0,140.0,0.95,101856,14802.0,14682.2,14591.7,14137.35,,,,66.73903529456088,15349.492941240838,14137.35,12925.207058759162,390.26709530119115,347.92097332847135,42.3461219727198,220.83549204656114,62.331486743783366,63.81837193260631,-690.0
2022-12-01,15030.0,15119.0,14927.0,14977.0,175.0,1.18,109793,14980.0,14722.6,14638.1,14238.3,,,,69.53975764621102,15374.678475684963,14238.3,13101.921524315036,402.8774333448637,358.91226533174984,43.96516801311384,227.8472426146639,80.47638119899004,67.46925973347085,-945.0
2022-12-02,14860.0,14959.0,14842.0,14886.0,-94.0,-0.63,70239,14884.0,14759.2,14680.7,14331.1,,,,66.44211391562506,15355.216184814946,14331.1,13306.983815185054,400.9068727426711,367.3111868139341,33.595685928737,221.21529671361648,80.77141606356132,74.52642800211153,-752.0
2022-12-05,14898.0,15046.0,14880.0,14935.0,51.0,0.34,79795,14930.0,14851.2,14731.4,14416.65,,,,67.28711356933655,15337.162742986233,14416.65,13496.137257013766,398.7030788492975,373.5895652210068,25.11351362829072,217.27134694835814,74.52897992710105,78.59225906321744,-705.0
2022-12-06,14874.0,14894.0,14672.0,14675.0,-255.0,-1.71,92759,14679.0,14854.6,14748.4,14483.7,,,,58.823177620478475,15263.625406689554,14483.7,13703.774593310447,371.6920941311364,373.21007100303274,-1.5179768718963373,220.5376793091897,59.286667693413484,71.52902122802524,-467.0
2022-12-07,14603.0,14780.0,14594.0,14623.0,-56.0,-0.38,106919,14625.0,14819.2,14750.7,14535.1,,,,57.27152709832829,15201.1624295064,14535.1,13869.037570493601,342.14568622795014,366.99719404801624,-24.851507820066104,218.07070221567616,45.5426356589148,59.78609442647641,-334.0
2022-12-08,14567.0,14570.0,14413.0,14496.0,-129.0,-0.88,99806,14495.0,14723.0,14722.8,14586.05,,,,53.55585446361806,15043.921368399528,14586.05,14128.17863160047,304.9666408767007,354.59108341375315,-49.62444253705246,217.494223485985,25.04282232031102,43.2907085575464,-132.0
2022-12-09,14636.0,14722.0,14572.0,14707.0,212.0,1.46,88022,14709.0,14687.2,14723.2,14618.5,,,,58.386412020492514,15009.131027953521,14618.5,14227.868972046479,289.1942647083233,341.5117196726672,-52.31745496434388,218.1017789512718,27.102136723982763,32.562531567736166,62.0
2022-12-12,14649.0,14650.0,14485.0,14581.0,-128.0,-0.87,87221,14583.0,14616.4,14733.8,14641.2,,,,54.725977956442094,14961.353463201463,14641.2,14321.046536798538,263.49004674496973,325.9073850871277,-62.41733834215796,218.38022331189524,25.731822474032175,25.958927172775294,227.0
2022-12-13,14660.0,14687.0,14496.0,14519.0,-64.0,-0.44,86066,14518.0,14585.2,14719.9,14640.65,,,,52.96632717316727,14961.602504274557,14640.65,14319.697495725442,235.40280991618783,307.80647005293974,-72.40366013675191,216.4244930753313,26.817752596789493,26.55057059826812,273.0
2022-12-14,14609.0,14732.0,14576.0,14710.0,192.0,1.32,88287,14710.0,14602.6,14710.9,14651.3,13825.38,,,57.49998180546323,14966.564396975149,14651.3,14336.03560302485,225.95095416809818,291.43536687597145,-65.48441270787328,216.17988642709335,28.57654319330145,27.042039421374344,58.0
2022-12-15,14658.0,14750.0,14607.0,14708.0,-2.0,-0.01,88235,14713.0,14645.0,14684.0,14661.05,13843.14,,,57.43754844001687,14970.61257848779,14661.05,14351.487421512209,215.81117027237997,276.31052755525315,-60.49935728287318,210.95275168230097,36.17902369966607,30.524439829918975,125.0
2022-12-16,14440.0,14550.0,14411.0,14461.0,-252.0,-1.71,104255,14463.0,14595.8,14641.5,14661.1,13854.98,,,50.18960993136668,14970.532965276796,14661.1,14351.667034723205,185.70380488089177,258.1891830203809,-72.48537813948911,217.09898370499377,34.624957888918395,33.12684159396195,475.0
2022-12-19,14405.0,14485.0,14362.0,14404.0,-59.0,-0.41,98774,14407.0,14560.4,14588.4,14659.9,13869.28,,,48.66350438295496,14973.102745837321,14659.9,14346.697254162678,155.45212196869034,237.64177081004277,-82.18964884135244,210.37762772606564,22.334429759028833,31.046137115871076,521.0
2022-12-20,14366.0,14442.0,14121.0,14154.0,-253.0,-1.76,131280,14153.0,14487.4,14536.3,14642.35,13890.54,,,42.552093061508955,15020.836604782804,14642.35,14263.863395217197,110.03610690108326,212.12063802825088,-102.08453112716762,218.27922574563237,8.54874555238003,21.836044400109063,1304.0
2022-12-21,14172.0,14233.0,14131.0,14165.0,42.0,0.3,42605,14167.0,14378.4,14490.5,14620.6,13912.32,,,42.89193186256852,15052.54184793788,14620.6,14188.65815206212,74.07727906291802,184.5119662351843,-110.43468717226628,209.9735667638015,7.429833436025458,12.771002915811417,1103.0
2022-12-22,14311.0,14396.0,14285.0,14377.0,210.0,1.48,71964,14374.0,14312.2,14478.6,14600.7,13942.48,,,49.1368898943732,15038.980777584373,14600.7,14162.419222415629,61.97190364483504,160.00395371711446,-98.03205007227942,211.4754548521014,17.64705882352948,11.208545937311634,1006.0
2022-12-23,14168.0,14237.0,14125.0,14190.0,-184.0,-1.28,72919,14189.0,14258.0,14426.9,14575.05,13962.96,,,44.51298201099911,15045.262919856714,14575.05,14104.837080143285,36.86402371733675,135.37596771715891,-98.51194399982217,214.37006521980842,19.554848966613743,14.877247075389539,1390.0
2022-12-26,14196.0,14254.0,14192.0,14245.0,56.0,0.39,35315,14243.0,14226.2,14393.3,14563.55,13988.24,,,46.11897313017499,15053.810940724508,14563.55,14073.28905927549,21.159969372802152,112.53276804828756,-91.37279867548541,203.6293462755364,23.794382617912103,20.332096802685086,1334.0
2022-12-27,14295.0,14392.0,14278.0,14303.0,60.0,0.42,65334,14305.0,14256.0,14371.7,14545.8,14012.24,,,47.833687854485746,15046.68785171943,14545.8,14044.91214828057,13.241864466141124,92.67458733185828,-79.43272286571715,199.58439297014093,19.872813990461122,21.0740151916623,1102.0
2022-12-28,14190.0,14195.0,14070.0,14110.0,-195.0,-1.36,84583,14112.0,14245.0,14311.7,14511.3,14035.16,,,42.937007197277666,15032.057563555418,14511.3,13990.54243644458,-8.508694813621332,72.43793090276236,-80.94662571638369,201.97122204370228,18.993993993994064,20.887063534122408,1286.0
2022-12-29,13960.0,14072.0,13938.0,14032.0,-80.0,-0.57,78436,14034.0,14176.0,14244.1,14464.05,14057.8,,,41.10557590233228,14978.664992008737,14464.05,13949.435007991262,-31.67498832553065,51.61534705710376,-83.29033538263441,199.83042046915213,18.150931337833224,19.00591310742945,1572.0
2022-12-30,14193.0,14213.0,14127.0,14134.0,100.0,0.71,61365,14135.0,14164.8,14211.4,14426.45,14084.38,,,44.44282966576452,14921.779980921772,14426.45,13931.12001907823,-41.32749762032472,33.026778121618065,-74.35427574194279,198.48539043564125,21.468955244092424,19.537960191973216,1467.0
2023-01-03,14050.0,14247.0,13952.0,14230.0,95.0,0.67,114614,14230.0,14161.8,14194.0,14391.2,14111.34,,,47.46040103353457,14834.342685824711,14391.2,13948.05731417529,-40.76091661060127,18.2692391751742,-59.03015578577547,205.37929111880973,39.94299697140926,26.520961184444946,1345.0
2023-01-04,14205.0,14271.0,14181.0,14208.0,-22.0,-0.15,69531,14209.0,14142.8,14199.4,14367.85,14141.86,,,46.832628804524624,14797.731972173748,14367.85,13937.968027826253,-41.60748799488465,6.293893741162428,-47.90138173604708,197.13791318175188,53.86543748989171,38.42579656846444,1325.0
2023-01-05,14324.0,14375.0,14239.0,14289.0,80.0,0.56,77650,14289.0,14178.6,14211.8,14351.15,14172.86,,,49.48212205116036,14765.765617168498,14351.15,13936.534382831502,-35.33505830456852,-2.0318966679837622,-33.30316163658476,194.98520509734104,66.67339963706091,53.49394469945393,1372.0
2023-01-06,14278.0,14403.0,14275.0,14364.0,75.0,0.52,78727,14366.0,14245.0,14210.5,14344.55,14201.02,,,51.87357667039758,14753.901426038841,14344.55,13935.198573961157,-24.0351768286273,-6.43255270011247,-17.60262412851483,190.2005475903881,75.95921454056844,65.49935055584032,997.0
2023-01-09,14618.0,14770.0,14582.0,14769.0,403.0,2.81,80242,14765.0,14372.0,14268.4,14347.65,14241.12,,,62.262463849526526,14768.705471404943,14347.65,13926.594528595057,17.399604120655567,-1.666121335958862,19.06572545661443,205.61479419107468,89.60182874950361,77.41148097571096,777.0
2023-01-10,14745.0,14829.0,14735.0,14808.0,43.0,0.29,69053,14810.0,14487.6,14324.7,14359.0,14278.42,,,63.088764868192946,14815.362136904429,14359.0,13902.637863095571,52.775576612308214,9.222218253694553,43.553358358613664,197.64230889171222,96.37860285373733,87.31321538126976,625.0
2023-01-11,14855.0,14884.0,14746.0,14792.0,-18.0,-0.12,62375,14791.0,14604.4,14373.6,14372.65,14313.64,,,62.48429359071862,14862.444763140731,14372.65,13882.855236859268,78.61401002756429,23.1005766084685,55.51343341909579,193.38214397087563,95.93258225767921,93.97100462030669,730.0
2023-01-12,14825.0,14840.0,14709.0,14768.0,-23.0,-0.16,68357,14766.0,14700.2,14439.4,14375.55,14347.34,,,61.531935743409974,14873.91190665021,14375.55,13877.188093349789,96.04738082267977,37.689937451310755,58.357443371369015,188.9262765443845,91.82386238313318,94.71168249818321,760.0
2023-01-13,15000.0,15016.0,14822.0,14833.0,67.0,0.45,83193,14834.0,14794.0,14519.5,14381.8,14384.84,,,63.16923057312468,14899.444511223708,14381.8,13864.15548877629,113.79663280378008,52.91127652180462,60.88535628197546,193.1458282197856,86.8764137953337,91.54428614538199,543.0
2023-01-16,14935.0,15004.0,14916.0,14936.0,102.0,0.69,84845,14938.0,14827.4,14599.7,14405.55,14422.96,,,65.66322035839882,14976.402511600005,14405.55,13834.697488399994,134.62243839804614,69.25350889705292,65.36892950099322,191.5639833469438,86.9245205416719,88.54159890671288,661.0
2023-01-17,14923.0,14969.0,14906.0,14925.0,-13.0,-0.09,68548,14925.0,14850.8,14669.2,14431.6,14456.98,,,65.15578931498878,15045.703704597208,14431.6,13817.496295402792,148.52730103289286,85.10826732422092,63.41903370867195,182.38084167930495,87.16940061487816,86.99011165062787,617.0
2023-01-30,15450.0,15532.0,15349.0,15458.0,548.0,3.68,56025,15457.0,14984.0,14794.2,14496.8,14499.46,,,75.1689164928101,15242.0558218492,14496.8,13751.544178150798,200.2473238831808,108.1360786360129,92.1112452471679,212.71078155935461,90.94013911586411,88.34468675747134,86.0
