,date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr
147,1998-09-08,TX,199809,6719.0,6870.0,6700.0,6865.0,146.0,2.17,1410,6865.0,6576.6,6571.2,6838.2,,,,45.82382386421943,7495.832906719259,6838.2,6180.567093280741,-240.91438960765572,-279.9208781724311,39.006488564775395,165.87263153185782
152,1998-09-09,TX,199809,6930.0,6931.0,6735.0,6770.0,-95.0,-1.38,1901,6770.0,6690.6,6578.7,6811.7,,,,42.84902626025548,7434.556676932983,6811.7,6188.843323067017,-217.08481032280997,-267.3536646025069,50.26885427969694,168.0245864224394
156,1998-09-10,TX,199809,6720.0,6798.0,6702.0,6730.0,-40.0,-0.59,1371,6730.0,6756.8,6578.9,6787.25,,,,41.62376548235108,7381.98990113327,6787.25,6192.51009886673,-199.13189424126085,-253.7093105302577,54.57741628899686,162.87997310655086
160,1998-09-11,TX,199809,6680.0,6769.0,6630.0,6769.0,39.0,0.58,1804,6769.0,6770.6,6599.2,6764.7,,,,43.325396387843746,7325.318979343382,6764.7,6204.0810206566175,-179.68579880140078,-238.90460818448634,59.218809383085556,161.17426074179724
164,1998-09-14,TX,199809,6789.0,6849.0,6769.0,6818.0,49.0,0.72,871,6818.0,6790.4,6640.0,6741.35,,,,45.47587033315978,7249.816822909805,6741.35,6232.883177090196,-158.4937206214372,-222.8224306718765,64.3287100504393,155.3760992602403
168,1998-09-15,TX,199809,6840.0,6850.0,6780.0,6825.0,7.0,0.1,612,6825.0,6782.4,6679.5,6718.9,,,,45.792311680071904,7167.429553095468,6718.9,6270.3704469045315,-139.5256397611074,-206.16307248972268,66.63743272861527,149.27780645593742
173,1998-09-16,TX,199809,6815.0,6995.0,6815.0,6995.0,170.0,2.49,732,6995.0,6827.4,6759.0,6707.4,,,,52.93609118043223,7113.193740710723,6707.4,6301.606259289276,-109.51331840602234,-186.8331216729826,77.31980326696026,151.4722488519419
178,1998-09-17,TX,199810,6945.0,6964.0,6892.0,6906.0,-24.0,-0.35,1979,6906.0,6862.6,6809.7,6704.95,,,,49.274929296104794,7105.2895933454765,6704.95,6304.610406654523,-91.85109149356413,-167.8367156370989,75.98562414353478,148.0099453625175
183,1998-09-18,TX,199810,6840.0,6876.0,6832.0,6842.0,-64.0,-0.93,1470,6842.0,6877.2,6823.9,6699.6,,,,46.76992548272566,7089.474030938188,6699.6,6309.725969061813,-82.07184144541588,-150.6837407987623,68.61189935334642,142.72352069376626
188,1998-09-19,TX,199810,6859.0,7040.0,6855.0,7039.0,197.0,2.88,2339,7039.0,6921.4,6855.9,6712.05,,,,54.44661492980223,7127.725101491527,6712.05,6296.374898508473,-57.75964449663388,-132.0989215383366,74.33927704170273,146.6718406442115
193,1998-09-21,TX,199810,7035.0,7060.0,6850.0,6861.0,-178.0,-2.53,2307,6861.0,6928.6,6855.5,6713.35,7143.82,,,47.74630184185486,7130.714241400718,6713.35,6295.985758599283,-52.252827576686286,-116.12970274600654,63.87687516932026,151.1952805981964
197,1998-09-22,TX,199810,6930.0,6958.0,6855.0,6926.0,65.0,0.95,1715,6926.0,6914.8,6871.1,6724.9,7121.44,,,50.15839602081178,7152.25928678339,6724.9,6297.540713216609,-42.15771087214944,-101.33530437123513,59.17759349908569,147.7527605554681
202,1998-09-23,TX,199810,6900.0,6946.0,6850.0,6852.0,-74.0,-1.07,1773,6852.0,6904.0,6883.3,6731.1,7101.08,,,47.47172033345425,7162.042177095683,6731.1,6300.157822904318,-39.67113555238848,-89.0024706074658,49.33133505507732,144.0561348015061
207,1998-09-24,TX,199810,6940.0,6940.0,6870.0,6890.0,38.0,0.55,1403,6890.0,6913.6,6895.4,6747.3,7082.38,,,48.98292646916541,7176.554749536934,6747.3,6318.045250463067,-34.23953226138019,-78.04988293824867,43.81035067686848,140.0521251728271
211,1998-09-25,TX,199810,6856.0,6881.0,6771.0,6871.0,-19.0,-0.28,1928,6871.0,6880.0,6900.7,6770.35,7063.1,,,48.235697363462066,7173.389092396744,6770.35,6367.310907603257,-31.109478033252344,-68.66180195724941,37.552323923997065,138.54840194619658
215,1998-09-28,TX,199810,6860.0,6880.0,6801.0,6840.0,-31.0,-0.45,1132,6840.0,6875.8,6902.2,6790.85,7044.18,,,46.97653196808416,7163.089318181173,6790.85,6418.610681818827,-30.77556685129275,-61.084554936058076,30.308988084765325,134.29494466432539
219,1998-09-29,TX,199810,6870.0,6875.0,6780.0,6806.0,-34.0,-0.5,1389,6806.0,6851.8,6883.3,6821.15,7025.46,,,45.57142705195502,7076.326233219311,6821.15,6565.9737667806885,-32.87548752808925,-55.44274145446431,22.56725392637506,131.48816290258785
224,1998-09-30,TX,199810,6806.0,6827.0,6751.0,6787.0,-19.0,-0.28,1239,6787.0,6838.8,6871.4,6840.55,7007.6,,,44.76561870834407,7008.480312927725,6840.55,6672.619687072275,-35.66174461073024,-51.486542085717495,15.824797474987257,127.52472269526014
229,1998-10-01,TX,199810,6738.0,6745.0,6620.0,6620.0,-167.0,-2.46,2073,6620.0,6784.8,6849.2,6836.55,6987.24,,,38.34729750179926,7020.708057113985,6836.55,6652.391942886015,-50.760245235468574,-51.34128271566771,0.5810374801991358,130.3443853598844
233,1998-10-02,TX,199810,6530.0,6530.0,6311.0,6398.0,-222.0,-3.35,2532,6398.0,6690.2,6785.1,6820.5,6963.2,,,31.81669677823627,7082.388144061555,6820.5,6558.611855938445,-79.72049221797897,-57.01712461612996,-22.70336760184901,143.10550069132123
238,1998-10-03,TX,199810,6398.0,6555.0,6398.0,6550.0,152.0,2.38,2383,6550.0,6632.2,6754.0,6804.75,6942.02,,,39.423432486554454,7090.811444448576,6804.75,6518.688555551424,-89.37629264908628,-63.48895822272122,-25.887334426365058,144.09796492765543
243,1998-10-06,TX,199810,6490.0,6493.0,6320.0,6450.0,-100.0,-1.53,2007,6450.0,6561.0,6706.4,6788.75,6919.98,,,36.53556529618534,7113.919417381165,6788.75,6463.580582618835,-103.90005318457952,-71.57117721509289,-32.32887596948663,150.23382457568005
248,1998-10-07,TX,199810,6469.0,6640.0,6469.0,6639.0,189.0,2.93,2348,6639.0,6531.4,6685.1,6784.2,6901.56,,,44.77017363439851,7115.027810197376,6784.2,6453.372189802623,-99.01809858207889,-77.0605614884901,-21.957537093588797,153.07426567741717
253,1998-10-08,TX,199810,6600.0,7035.0,6600.0,6981.0,342.0,5.15,3281,6981.0,6603.6,6694.2,6794.8,6891.44,,,55.91661942709331,7136.410070109178,6794.8,6453.189929890822,-66.78274271308692,-75.00499773340945,8.222255020322535,173.21181812903023
258,1998-10-09,TX,199810,6980.0,7028.0,6830.0,6900.0,-81.0,-1.16,3290,6900.0,6704.0,6697.1,6798.9,6880.2,,,53.1791593486194,7143.480846827037,6798.9,6454.319153172963,-47.22760358253163,-69.4495189032339,22.221915320702266,174.9824025483852
263,1998-10-12,TX,199810,6980.0,6980.0,6900.0,6935.0,35.0,0.51,1613,6935.0,6781.0,6706.6,6804.4,6868.6,,,54.22203159786053,7153.94736445873,6804.4,6454.85263554127,-28.576396530585953,-61.27489442870431,32.698497898118354,168.19794522350054
267,1998-10-13,TX,199810,6950.0,6990.0,6851.0,6852.0,-83.0,-1.2,2387,6852.0,6861.4,6711.2,6797.25,6858.34,,,51.3036956424337,7136.611680217426,6797.25,6457.888319782574,-20.259053153356945,-53.071726173634836,32.81267302027789,166.11237770753624
272,1998-10-14,TX,199810,6830.0,6830.0,6740.0,6775.0,-77.0,-1.12,2224,6775.0,6888.6,6710.0,6790.7,6846.64,,,48.68576111975542,7126.450562173807,6790.7,6454.9494378261925,-19.654193776287684,-46.38821969416541,26.734025917877723,162.24720787128368
276,1998-10-15,TX,199810,6775.0,6781.0,6720.0,6760.0,-15.0,-0.22,1188,6760.0,6844.4,6724.0,6786.6,6835.24,,,48.1700900054655,7121.746773817062,6786.6,6451.453226182939,-20.15290288227243,-41.14115633178681,20.98825344951438,155.01526445190626
280,1998-10-17,TX,199810,6950.0,6975.0,6895.0,6908.0,148.0,2.19,1592,6908.0,6846.0,6775.0,6780.05,6827.58,,,53.413198828191646,7099.984665205207,6780.05,6460.115334794793,-8.507698872634137,-34.61446483995628,26.10676596732214,159.29988841962722
285,1998-10-19,TX,199810,6920.0,6926.0,6871.0,6900.0,-8.0,-0.12,641,6900.0,6839.0,6810.0,6782.0,6819.18,,,53.100504488928856,7104.350740653717,6782.0,6459.649259346283,0.07481365768217074,-27.67660914042859,27.75142279811076,151.84989638965385
289,1998-10-20,TX,199810,6885.0,6898.0,6812.0,6812.0,-88.0,-1.28,777,6812.0,6831.0,6846.2,6776.3,6809.42,,,49.656787747906584,7092.231701479883,6776.3,6460.368298520118,-0.22179121067529195,-22.18564555447793,21.963854343802637,147.28918950467855
294,1998-10-21,TX,199810,6812.0,7055.0,6789.0,7054.0,242.0,3.55,926,7054.0,6886.8,6887.7,6786.4,6806.12,,,57.76803188073335,7123.567851373801,6786.4,6449.232148626198,18.853196897713133,-13.977877064039717,32.83107396175285,155.76853311148722
